"1","Rafael Leao"
"1","Lautaro Martinez"
"1","Paulo Dybala"
"2","Juventus"
"2","Inter"
"2","Milan"
"3","Alex Meret"
"3","Mattia Perin"
"3","Mike Maignan"
"4","Los Angeles Lakers"
"4","Golden State Warriors"
"4","Boston Celtics"
"5","David Okereke"
"5","Domenico Berardi"
"5","Kingsley Ehizibue"
"6","David Guetta"
"6","Dua Lipa"
"6","Drake"
"7","Michael Jackson"
"7","Gloria Gaynor"
"7","Rick Astley"
"8","Mr Rain"
"8","Lazza"
"8","Ultimo"
"9","Per sostenere il movimento LGBTQ+"
"9","Per sostenere il movimento Black Lives Matter"
"9","Per sostenere la ricostruzione della diga del Vajont"
"10","Kebho"
"10","Rekkles"
"10","TenZ"
"11","League Of Legends World Championship"
"11","Major CSGO"
"11","Fortnite Skirmish"
"12","God of War Ragnarok"
"12","Stray"
"12","Horizon Forbidden West"
"13","Fortnite"
"13","League Of Legends"
"13","PUBG"
"14","Le ali della libertà"
"14","Il Padrino"
"14","Parasite"
"15","Daniel Day-Lewis"
"15","Ryan Gosling"
"15","Al Pacino"
"16","Maquia"
"16","Weathering with you"
"16","In questo angolo del mondo"
"17","Stranger Things"
"17","Riverdale"
"17","The Good Doctor"